PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
31773, , 6.846301, -0.227692, 5.199224, -0.049448, 0.705779, -1.242336, -0.003679, -2.590271, -0.017528, -0.628906, -0.442871, -0.428467, 0.067782, -0.002282, 0.052873, 0.999916, -0.000018, -0.012951, -0.000088, -2.099236, -48.793344, 97.252136, , , 0.000000, , , 
31774, , 6.983986, -0.192983, 5.177289, -0.072682, 0.584419, -1.137064, 0.041396, -2.634282, -0.021024, -0.635498, -0.442871, -0.411865, 0.069150, -0.001948, 0.052686, 0.999913, 0.000207, -0.013171, -0.000105, -2.128407, -50.305012, 97.323698, , , 0.000000, , , 
31775, , 7.121152, -0.053733, 4.946495, -0.210661, 0.607707, -1.166112, 0.029213, -2.694931, -0.028336, -0.648193, -0.442871, -0.397217, 0.070536, -0.000555, 0.050418, 0.999909, 0.000146, -0.013474, -0.000142, -2.161358, -51.832824, 97.391491, , , 0.000000, , , 
31776, , 7.378710, -0.302891, 4.513815, 0.013951, 0.895894, -1.204312, -0.019552, -2.739972, -0.024196, -0.656738, -0.447021, -0.378174, 0.073159, -0.003033, 0.046144, 0.999906, -0.000098, -0.013699, -0.000121, -2.235350, -53.404987, 97.472470, , , 0.000000, , , 
31777, , 7.431522, -0.422329, 4.107373, 0.126470, 1.033647, -1.375425, 0.027167, -2.759584, -0.025229, -0.671875, -0.442627, -0.359619, 0.073739, -0.004238, 0.042093, 0.999905, 0.000136, -0.013797, -0.000126, -2.282654, -54.969991, 97.554399, , , 0.000000, , , 
31778, , 7.476144, -0.284695, 3.911231, -0.001728, 0.973218, -1.427001, 0.038572, -2.791750, -0.024557, -0.682617, -0.444824, -0.338623, 0.074205, -0.002864, 0.040150, 0.999903, 0.000193, -0.013958, -0.000123, -2.337202, -56.571683, 97.648985, , , 0.000000, , , 
31779, , 7.611424, -0.320504, 3.687172, 0.033066, 1.003378, -1.409174, 0.014349, -2.845874, -0.013090, -0.684814, -0.442627, -0.322021, 0.075579, -0.003213, 0.037949, 0.999899, 0.000072, -0.014229, -0.000065, -2.425524, -58.190882, 97.762770, , , 0.000000, , , 
31780, , 7.667705, -0.290583, 3.380167, 0.002088, 1.052705, -1.494592, 0.069573, -2.853398, -0.010309, -0.695557, -0.447021, -0.309326, 0.076184, -0.002922, 0.034890, 0.999898, 0.000348, -0.014267, -0.000052, -2.495831, -59.827359, 97.893083, , , 0.000000, , , 
31781, , 7.851116, -0.285220, 3.069378, -0.012875, 1.175953, -1.460770, 0.120659, -2.882735, -0.003015, -0.704102, -0.444824, -0.280273, 0.078058, -0.002872, 0.031819, 0.999896, 0.000603, -0.014413, -0.000015, -2.552018, -61.464060, 98.038603, , , 0.000000, , , 
31782, , 8.023048, -0.059020, 3.083323, -0.219587, 0.980775, -1.276619, 0.180416, -2.871533, -0.007751, -0.717041, -0.444824, -0.263428, 0.079777, -0.000622, 0.031980, 0.999897, 0.000902, -0.014357, -0.000039, -2.584349, -63.110689, 98.193618, , , 0.000000, , , 
31783, , 8.083886, 0.158221, 2.984885, -0.418277, 0.830866, -1.244524, 0.128131, -2.861101, -0.005650, -0.712646, -0.447021, -0.242432, 0.080401, 0.001560, 0.031002, 0.999897, 0.000641, -0.014305, -0.000028, -2.661515, -64.740231, 98.359853, , , 0.000000, , , 
