PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
28459, , 9.098040, -2.866108, -0.065708, -1.312600, 0.272020, -0.368317, 0.272587, 0.407900, 0.057438, -0.707520, 0.520752, 0.044434, 0.090987, -0.028634, -0.000882, 0.999997, 0.001363, 0.002039, 0.000287, -97.858423, -80.420787, 3.396430, , , 0.000000, , , 
28460, , 9.969919, -1.741089, -0.095005, -0.061205, 0.120466, 0.307652, 0.380842, 0.402532, 0.062234, -0.712158, 0.529541, 0.041992, 0.099702, -0.017378, -0.001184, 0.999996, 0.001904, 0.002013, 0.000311, -96.383401, -80.412451, 2.123825, , , 0.000000, , , 
28461, , 10.175648, -0.171918, -0.049066, 1.521961, 0.002545, 0.250077, 0.302094, 0.467712, 0.052413, -0.712158, 0.525146, 0.031494, 0.101755, -0.001692, -0.000731, 0.999996, 0.001510, 0.002339, 0.000262, -94.618128, -80.408236, 0.508675, , , 0.000000, , , 
28462, , 9.954479, -0.278852, -0.079756, 1.378693, -0.065853, 0.049890, 0.029509, 0.492445, 0.056826, -0.709961, 0.525146, 0.031494, 0.099543, -0.002760, -0.001043, 0.999997, 0.000148, 0.002462, 0.000284, -93.058979, -80.401085, -1.065452, , , 0.000000, , , 
28463, , 9.648742, -1.217170, -0.041402, 0.410495, -0.008075, -0.096069, -0.078937, 0.505288, 0.073121, -0.712158, 0.527344, 0.027344, 0.096490, -0.012137, -0.000653, 0.999997, -0.000395, 0.002526, 0.000366, -91.390886, -80.370531, -2.803633, , , 0.000000, , , 
28464, , 9.642538, -1.718155, 0.066816, -0.072594, 0.091417, -0.018748, 0.023487, 0.492458, 0.104355, -0.705566, 0.527344, 0.022949, 0.096436, -0.017131, 0.000429, 0.999997, 0.000117, 0.002462, 0.000522, -89.833297, -80.329672, -4.374986, , , 0.000000, , , 
28465, , 9.875389, -1.705655, 0.359215, 0.008013, 0.329979, 0.209909, 0.146733, 0.473673, 0.128570, -0.703125, 0.525146, 0.018799, 0.098773, -0.016996, 0.003346, 0.999997, 0.000734, 0.002368, 0.000643, -88.175296, -80.251483, -5.972301, , , 0.000000, , , 
28466, , 10.164260, -1.813303, 0.461168, -0.032675, 0.387335, 0.515024, 0.124702, 0.432922, 0.154219, -0.712158, 0.527344, 0.016602, 0.101666, -0.018057, 0.004380, 0.999997, 0.000624, 0.002165, 0.000771, -86.744846, -80.161880, -7.344878, , , 0.000000, , , 
28467, , 9.957730, -2.325091, 0.253279, -0.573796, 0.174687, 0.398417, 0.172414, 0.389243, 0.146202, -0.707764, 0.531738, 0.008057, 0.099599, -0.023180, 0.002319, 0.999997, 0.000862, 0.001946, 0.000731, -85.407126, -80.063291, -8.603041, , , 0.000000, , , 
28468, , 9.366625, -2.352842, -0.103443, -0.719298, -0.204189, -0.183513, 0.258500, 0.365909, 0.118117, -0.705566, 0.533936, 0.010254, 0.093678, -0.023472, -0.001236, 0.999997, 0.001292, 0.001830, 0.000591, -84.168907, -79.991619, -9.710442, , , 0.000000, , , 
28469, , 9.367645, -2.140032, -0.124460, -0.503378, -0.279281, -0.220166, 0.310560, 0.346754, 0.102631, -0.707764, 0.527344, 0.006104, 0.093685, -0.021350, -0.001440, 0.999997, 0.001553, 0.001734, 0.000513, -82.918856, -79.911231, -10.799835, , , 0.000000, , , 
28470, , 9.660860, -1.715454, -0.233657, -0.036160, -0.461799, -0.008867, 0.299250, 0.368984, 0.100411, -0.709961, 0.533936, -0.000244, 0.096613, -0.017102, -0.002540, 0.999997, 0.001496, 0.001845, 0.000502, -81.706715, -79.833894, -11.862769, , , 0.000000, , , 
28471, , 9.222440, -1.160845, -0.016665, 0.454814, -0.302171, -0.533520, 0.180800, 0.394084, 0.108726, -0.705566, 0.533936, -0.002441, 0.092230, -0.011558, -0.000359, 0.999998, 0.000904, 0.001970, 0.000544, -80.423903, -79.737787, -13.061635, , , 0.000000, , , 
28472, , 9.085815, -1.116239, 0.314978, 0.503776, -0.003339, -0.667016, -0.035388, 0.401964, 0.134441, -0.705566, 0.533936, -0.002441, 0.090872, -0.011101, 0.002969, 0.999998, -0.000177, 0.002010, 0.000672, -79.366183, -79.633081, -14.166367, , , 0.000000, , , 
28473, , 9.147045, -1.813101, 0.616958, -0.138780, 0.300167, -0.473151, -0.170741, 0.392335, 0.155481, -0.707764, 0.529541, -0.004395, 0.091496, -0.018055, 0.006006, 0.999997, -0.000854, 0.001962, 0.000777, -78.364614, -79.502877, -15.284950, , , 0.000000, , , 
28474, , 9.571658, -2.236686, 0.727827, -0.461772, 0.384161, 0.025412, -0.046863, 0.377222, 0.142773, -0.698975, 0.536133, -0.006592, 0.095746, -0.022297, 0.007103, 0.999998, -0.000234, 0.001886, 0.000714, -77.442985, -79.395480, -16.256150, , , 0.000000, , , 
28475, , 9.711525, -2.168767, 0.892294, -0.349090, 0.500369, 0.159329, 0.160535, 0.340492, 0.113404, -0.701172, 0.538330, -0.008789, 0.097143, -0.021640, 0.008740, 0.999998, 0.000803, 0.001702, 0.000567, -76.424755, -79.288903, -17.199476, , , 0.000000, , , 
28476, , 9.992016, -1.938348, 0.626407, -0.084121, 0.172204, 0.383052, 0.246413, 0.311126, 0.084929, -0.701416, 0.540527, -0.010986, 0.099938, -0.019349, 0.006085, 0.999998, 0.001232, 0.001556, 0.000425, -75.510169, -79.201378, -17.999064, , , 0.000000, , , 
28477, , 10.041847, -1.613964, 0.521129, 0.240939, 0.011836, 0.368514, 0.210782, 0.290586, 0.070636, -0.698975, 0.534180, -0.015137, 0.100432, -0.016110, 0.005048, 0.999998, 0.001054, 0.001453, 0.000353, -74.609812, -79.120237, -18.793735, , , 0.000000, , , 
28478, , 9.614642, -1.544950, 0.587852, 0.240915, 0.072363, -0.060229, 0.070216, 0.284693, 0.070007, -0.698975, 0.536377, -0.017334, 0.096160, -0.015418, 0.005736, 0.999999, 0.000351, 0.001423, 0.000350, -73.889369, -79.044261, -19.499652, , , 0.000000, , , 
28479, , 9.673380, -1.641296, 0.185941, 0.136345, -0.355057, -0.006670, -0.034045, 0.293549, 0.074130, -0.698975, 0.538330, -0.019531, 0.096742, -0.016377, 0.001720, 0.999999, -0.000170, 0.001468, 0.000371, -73.147835, -78.956809, -20.275979, , , 0.000000, , , 
28480, , 9.880851, -1.136052, 0.373352, 0.687683, -0.236773, 0.113649, -0.047734, 0.324860, 0.095058, -0.703613, 0.540527, -0.015137, 0.098820, -0.011313, 0.003576, 0.999999, -0.000239, 0.001624, 0.000475, -72.418238, -78.858837, -21.056161, , , 0.000000, , , 
28481, , 9.553500, -1.057928, 0.351983, 0.712350, -0.271060, -0.224598, -0.188150, 0.343228, 0.109874, -0.696777, 0.536377, -0.021484, 0.095547, -0.010524, 0.003366, 0.999998, -0.000941, 0.001716, 0.000549, -71.686420, -78.739459, -21.913238, , , 0.000000, , , 
28482, , 9.215749, -1.626216, 0.496350, 0.112325, -0.096704, -0.442580, -0.286569, 0.344140, 0.129075, -0.701172, 0.540527, -0.023682, 0.092176, -0.016196, 0.004828, 0.999997, -0.001433, 0.001721, 0.000645, -71.128637, -78.625577, -22.668634, , , 0.000000, , , 
28483, , 9.421347, -2.056146, 0.733489, -0.242039, 0.121144, -0.145517, -0.191006, 0.332139, 0.145770, -0.697021, 0.544922, -0.023682, 0.094240, -0.020486, 0.007198, 0.999998, -0.000955, 0.001661, 0.000729, -70.493842, -78.485437, -23.429288, , , 0.000000, , , 
28484, , 9.469515, -1.868591, 0.777803, -0.033927, 0.123764, -0.130138, -0.068568, 0.320376, 0.148898, -0.699219, 0.544922, -0.023682, 0.094721, -0.018613, 0.007633, 0.999998, -0.000343, 0.001602, 0.000744, -69.900755, -78.357994, -24.092249, , , 0.000000, , , 
28485, , 9.422691, -1.767618, 0.944325, 0.081245, 0.257876, -0.183038, -0.009792, 0.295815, 0.135457, -0.694580, 0.542969, -0.028076, 0.094253, -0.017612, 0.009305, 0.999999, -0.000049, 0.001479, 0.000677, -69.278752, -78.227558, -24.734629, , , 0.000000, , , 
28486, , 9.426575, -1.854964, 0.885119, 0.001635, 0.179121, -0.166316, 0.001973, 0.278304, 0.128616, -0.694580, 0.545166, -0.036377, 0.094290, -0.018489, 0.008720, 0.999999, 0.000010, 0.001392, 0.000643, -68.758218, -78.116787, -25.282789, , , 0.000000, , , 
28487, , 9.472095, -1.811659, 0.576439, 0.039352, -0.159931, -0.153092, -0.075969, 0.262365, 0.125652, -0.696777, 0.542725, -0.030029, 0.094740, -0.018055, 0.005647, 0.999999, -0.000380, 0.001312, 0.000628, -68.273912, -77.996285, -25.823860, , , 0.000000, , , 
28488, , 9.592897, -1.894208, 0.756553, 0.004123, -0.008338, -0.005347, -0.136852, 0.255587, 0.112990, -0.690186, 0.545166, -0.036377, 0.095949, -0.018883, 0.007456, 0.999999, -0.000684, 0.001278, 0.000565, -67.856209, -77.897357, -26.332648, , , 0.000000, , , 
28489, , 9.735314, -2.122565, 0.738964, -0.183229, -0.046210, 0.176904, -0.157004, 0.243069, 0.115352, -0.698975, 0.542725, -0.032227, 0.097374, -0.021164, 0.007288, 0.999999, -0.000785, 0.001215, 0.000577, -67.473628, -77.784983, -26.817650, , , 0.000000, , , 
28490, , 9.855000, -2.005504, 0.751368, -0.036174, -0.072648, 0.272004, -0.134302, 0.246511, 0.115895, -0.694824, 0.547119, -0.038574, 0.098571, -0.019993, 0.007406, 0.999999, -0.000672, 0.001233, 0.000579, -67.097321, -77.687225, -27.281180, , , 0.000000, , , 
28491, , 9.606468, -2.058347, 0.877108, -0.113317, 0.057946, 0.050075, -0.130255, 0.248893, 0.117658, -0.690186, 0.545166, -0.032227, 0.096088, -0.020521, 0.008665, 0.999999, -0.000651, 0.001244, 0.000588, -66.703271, -77.571131, -27.762698, , , 0.000000, , , 
28492, , 9.548415, -2.106298, 0.833405, -0.165590, 0.003512, -0.000665, -0.071759, 0.240428, 0.124533, -0.694580, 0.545166, -0.038574, 0.095507, -0.021001, 0.008227, 0.999999, -0.000359, 0.001202, 0.000623, -66.335752, -77.466663, -28.184825, , , 0.000000, , , 
28493, , 9.587157, -2.008931, 1.007138, -0.036922, 0.142581, 0.033223, 0.012213, 0.232513, 0.128332, -0.694824, 0.549316, -0.044922, 0.095896, -0.020028, 0.009959, 0.999999, 0.000061, 0.001163, 0.000642, -65.925471, -77.347535, -28.599830, , , 0.000000, , , 
28494, , 9.825083, -2.023725, 0.970378, -0.000567, 0.059537, 0.265296, 0.025283, 0.235383, 0.135209, -0.690186, 0.542969, -0.038574, 0.098276, -0.020172, 0.009586, 0.999999, 0.000126, 0.001177, 0.000676, -65.507413, -77.241010, -29.005681, , , 0.000000, , , 
28495, , 9.700190, -1.850431, 0.653463, 0.128877, -0.277191, 0.079294, 0.000593, 0.235340, 0.146488, -0.687988, 0.549561, -0.040771, 0.097023, -0.018433, 0.006420, 0.999999, 0.000003, 0.001177, 0.000732, -65.131208, -77.110657, -29.392966, , , 0.000000, , , 
28496, , 9.568587, -1.624394, 0.696375, 0.338691, -0.257740, -0.091564, 0.012609, 0.253501, 0.158512, -0.681396, 0.547363, -0.042969, 0.095707, -0.016169, 0.006841, 0.999999, 0.000063, 0.001268, 0.000793, -64.750910, -76.986522, -29.775539, , , 0.000000, , , 
28497, , 9.653140, -1.485871, 0.613147, 0.496981, -0.385305, -0.046863, 0.012911, 0.271114, 0.172110, -0.690430, 0.553711, -0.040771, 0.096552, -0.014776, 0.006000, 0.999999, 0.000065, 0.001356, 0.000861, -64.331103, -76.833145, -30.200859, , , 0.000000, , , 
28498, , 9.706950, -1.619292, 0.781963, 0.406025, -0.240807, 0.048120, -0.010032, 0.291135, 0.185740, -0.688232, 0.553711, -0.045166, 0.097096, -0.016102, 0.007679, 0.999999, -0.000050, 0.001456, 0.000929, -63.944292, -76.682391, -30.614775, , , 0.000000, , , 
28499, , 9.599408, -1.952267, 1.166024, 0.110804, 0.144939, 0.050689, -0.044106, 0.311172, 0.194105, -0.683594, 0.551758, -0.053467, 0.096031, -0.019427, 0.011515, 0.999998, -0.000221, 0.001556, 0.000971, -63.513981, -76.506347, -31.085145, , , 0.000000, , , 
28500, , 9.450190, -2.294472, 1.062468, -0.247267, 0.055056, -0.033359, -0.028812, 0.306967, 0.200552, -0.683838, 0.562500, -0.049561, 0.094541, -0.022848, 0.010483, 0.999998, -0.000144, 0.001535, 0.001003, -63.107451, -76.345018, -31.518306, , , 0.000000, , , 
28501, , 9.579439, -2.349556, 1.387576, -0.228418, 0.335281, 0.139536, -0.009982, 0.291095, 0.181851, -0.683838, 0.558350, -0.055664, 0.095836, -0.023408, 0.013737, 0.999999, -0.000050, 0.001455, 0.000909, -62.708331, -76.179067, -31.937153, , , 0.000000, , , 
28502, , 9.430937, -2.698160, 1.606754, -0.564089, 0.569049, 0.094998, 0.021348, 0.250110, 0.161063, -0.681641, 0.556152, -0.053711, 0.094351, -0.026907, 0.015947, 0.999999, 0.000107, 0.001251, 0.000805, -62.385253, -76.043791, -32.272742, , , 0.000000, , , 
28503, , 9.208590, -2.784471, 1.272722, -0.712778, 0.248471, -0.137907, 0.123497, 0.211229, 0.137370, -0.683838, 0.556152, -0.053711, 0.092118, -0.027789, 0.012613, 0.999999, 0.000617, 0.001056, 0.000687, -62.041034, -75.920588, -32.556745, , , 0.000000, , , 
28504, , 9.164016, -2.521352, 1.711379, -0.419786, 0.650767, -0.186397, 0.220014, 0.164660, 0.109096, -0.683838, 0.560303, -0.057861, 0.091668, -0.025182, 0.017011, 0.999999, 0.001100, 0.000823, 0.000545, -61.726973, -75.841617, -32.755571, , , 0.000000, , , 
28505, , 9.215431, -2.457272, 1.677577, -0.345929, 0.587218, -0.152869, 0.253349, 0.122185, 0.086109, -0.679443, 0.558350, -0.062012, 0.092175, -0.024554, 0.016688, 0.999999, 0.001267, 0.000611, 0.000431, -61.439687, -75.767982, -32.904427, , , 0.000000, , , 
28506, , 9.420210, -1.986452, 1.283574, 0.122300, 0.126900, -0.101723, 0.232676, 0.097402, 0.083063, -0.681641, 0.558350, -0.062012, 0.094217, -0.019840, 0.012767, 0.999999, 0.001163, 0.000487, 0.000415, -61.216569, -75.713464, -33.001601, , , 0.000000, , , 
28507, , 9.551713, -2.011389, 1.345698, 0.134210, 0.159337, 0.038627, 0.176731, 0.088409, 0.070006, -0.677246, 0.558350, -0.066406, 0.095530, -0.020092, 0.013397, 0.999999, 0.000884, 0.000442, 0.000350, -61.025848, -75.657115, -33.096250, , , 0.000000, , , 
28508, , 9.506411, -2.265952, 1.057411, -0.145821, -0.116988, 0.015311, 0.211390, 0.089401, 0.070484, -0.674805, 0.558350, -0.066406, 0.095077, -0.022637, 0.010508, 0.999999, 0.001057, 0.000447, 0.000352, -60.807870, -75.610704, -33.192919, , , 0.000000, , , 
28509, , 9.445749, -2.225775, 1.066566, -0.115410, -0.115778, -0.051178, 0.252289, 0.098361, 0.068934, -0.677246, 0.560547, -0.070557, 0.094470, -0.022239, 0.010591, 0.999999, 0.001261, 0.000492, 0.000345, -60.555760, -75.552074, -33.306350, , , 0.000000, , , 
28510, , 9.439387, -2.345692, 1.164317, -0.223895, -0.027160, -0.019372, 0.261326, 0.108589, 0.069736, -0.679443, 0.560547, -0.068359, 0.094408, -0.023439, 0.011561, 0.999999, 0.001307, 0.000543, 0.000349, -60.276304, -75.494497, -33.435729, , , 0.000000, , , 
28511, , 9.502214, -2.161474, 1.021844, -0.039988, -0.202669, -0.016489, 0.292802, 0.119903, 0.066674, -0.674805, 0.558350, -0.066406, 0.095035, -0.021598, 0.010130, 0.999999, 0.001464, 0.000600, 0.000333, -59.960432, -75.430659, -33.591148, , , 0.000000, , , 
28512, , 9.520677, -2.141322, 1.325139, 0.006910, 0.078210, 0.035071, 0.283630, 0.132383, 0.060592, -0.677246, 0.562744, -0.074951, 0.095222, -0.021403, 0.013158, 0.999999, 0.001418, 0.000662, 0.000303, -59.652525, -75.378445, -33.757427, , , 0.000000, , , 
28513, , 9.436048, -2.161987, 1.398521, -0.024965, 0.146227, -0.032758, 0.275628, 0.114326, 0.055905, -0.677246, 0.562744, -0.070557, 0.094374, -0.021613, 0.013901, 0.999999, 0.001378, 0.000572, 0.000280, -59.349310, -75.321303, -33.910135, , , 0.000000, , , 
28514, , 9.408423, -2.180085, 1.532055, -0.039055, 0.270116, -0.038032, 0.234351, 0.091963, 0.048071, -0.677246, 0.560547, -0.079102, 0.094096, -0.021796, 0.015252, 0.999999, 0.001172, 0.000460, 0.000240, -59.137358, -75.283294, -34.012751, , , 0.000000, , , 
28515, , 9.557393, -2.107115, 1.234694, 0.043531, -0.060377, 0.051522, 0.236741, 0.071890, 0.048577, -0.675049, 0.562744, -0.072754, 0.095583, -0.021063, 0.012288, 0.999999, 0.001184, 0.000359, 0.000243, -58.930587, -75.242077, -34.088944, , , 0.000000, , , 
28516, , 9.619346, -1.895219, 1.315247, 0.268563, -0.007180, 0.075759, 0.244552, 0.084156, 0.044860, -0.677246, 0.560547, -0.083252, 0.096203, -0.018947, 0.013089, 0.999999, 0.001223, 0.000421, 0.000224, -58.723366, -75.209057, -34.177915, , , 0.000000, , , 
28517, , 9.742868, -1.905059, 1.253228, 0.281873, -0.098371, 0.189020, 0.167220, 0.103024, 0.043898, -0.670410, 0.560547, -0.076904, 0.097439, -0.019040, 0.012466, 0.999999, 0.000836, 0.000515, 0.000219, -58.495552, -75.160837, -34.317220, , , 0.000000, , , 
28518, , 9.662059, -1.917657, 1.072841, 0.242100, -0.276776, 0.089259, 0.107519, 0.134098, 0.045541, -0.679443, 0.564941, -0.081299, 0.096632, -0.019160, 0.010653, 1.000000, 0.000538, 0.000670, 0.000228, -58.268163, -75.111392, -34.500519, , , 0.000000, , , 
28519, , 9.523931, -2.401360, 1.473210, -0.230997, 0.140373, 0.115507, 0.015166, 0.148680, 0.042680, -0.675049, 0.562744, -0.083252, 0.095255, -0.023994, 0.014659, 1.000000, 0.000076, 0.000743, 0.000213, -58.045432, -75.049811, -34.724885, , , 0.000000, , , 
28520, , 9.296614, -2.721287, 1.320463, -0.598304, 0.022160, -0.054737, -0.009503, 0.137623, 0.046372, -0.675049, 0.560547, -0.087402, 0.092982, -0.027191, 0.013142, 1.000000, -0.000048, 0.000688, 0.000232, -57.891129, -75.001795, -34.913998, , , 0.000000, , , 
28521, , 9.333871, -2.430900, 1.607230, -0.285259, 0.278954, -0.042610, -0.002189, 0.124488, 0.043410, -0.675049, 0.562744, -0.089600, 0.093354, -0.024289, 0.016014, 1.000000, -0.000011, 0.000622, 0.000217, -57.726244, -74.947034, -35.088984, , , 0.000000, , , 
28522, , 9.219896, -2.300843, 1.861587, -0.163872, 0.534768, -0.145577, -0.070884, 0.088173, 0.033783, -0.672852, 0.564941, -0.083252, 0.092211, -0.022986, 0.018583, 1.000000, -0.000354, 0.000441, 0.000169, -57.646433, -74.915391, -35.208803, , , 0.000000, , , 
28523, , 9.238724, -2.403589, 1.831724, -0.258339, 0.502314, -0.108698, -0.072277, 0.033472, 0.023507, -0.675049, 0.562744, -0.083252, 0.092393, -0.024018, 0.018310, 1.000000, -0.000361, 0.000167, 0.000118, -57.663724, -74.898155, -35.236778, , , 0.000000, , , 
