PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
62014, , 6.222914, -0.756328, 0.699782, 3.759242, -3.979174, -6.678940, -1.417008, 1.046451, 0.144741, -0.323730, -0.489990, 0.798828, 0.062270, -0.007470, 0.006725, 0.999961, -0.007085, 0.005232, 0.000724, 170.078265, -37.717221, -53.232262, , , 0.000000, , , 
62015, , 4.225077, 1.090388, -0.172276, 1.018126, -3.103231, -6.913948, -0.922636, 1.732798, 0.269551, -0.337402, -0.494385, 0.790283, 0.042219, 0.010952, -0.002139, 0.999951, -0.004613, 0.008664, 0.001348, 169.528594, -38.719410, -53.205699, , , 0.000000, , , 
62016, , 2.911595, 2.726366, -2.120855, -1.459801, -1.849899, -5.958561, -1.151266, 2.238469, 0.249901, -0.355713, -0.503418, 0.772949, 0.028841, 0.027176, -0.021689, 0.999920, -0.005756, 0.011192, 0.001249, 168.771090, -40.033773, -53.024412, , , 0.000000, , , 
62017, , 2.993787, 2.555506, -2.520020, -1.396860, -1.449699, -5.594954, -1.543914, 2.705924, 0.210421, -0.381104, -0.516602, 0.751465, 0.029565, 0.025389, -0.025798, 0.999878, -0.007719, 0.013529, 0.001052, 167.713570, -41.574006, -52.766867, , , 0.000000, , , 
62018, , 3.333230, 1.561109, -1.933520, -0.287975, -1.415998, -5.914460, -1.697230, 3.136168, 0.242087, -0.406250, -0.532227, 0.736816, 0.033003, 0.015483, -0.019986, 0.999840, -0.008486, 0.015680, 0.001210, 166.478282, -43.384925, -52.358274, , , 0.000000, , , 
62019, , 4.690820, 0.870058, -0.441843, 1.201508, -2.741894, -6.072159, -1.837373, 3.590236, 0.286424, -0.429199, -0.538818, 0.712891, 0.046805, 0.008721, -0.005339, 0.999796, -0.009186, 0.017950, 0.001432, 165.084820, -45.417247, -51.878007, , , 0.000000, , , 
62020, , 5.526272, -0.564950, 0.137948, 2.888475, -2.819668, -5.994285, -2.001229, 4.077945, 0.354341, -0.461426, -0.550049, 0.678223, 0.055286, -0.005545, 0.000308, 0.999741, -0.010005, 0.020388, 0.001772, 163.454449, -47.746730, -51.189384, , , 0.000000, , , 
62021, , 6.283734, -1.969766, -0.284545, 4.275276, -2.138102, -5.274892, -1.811149, 4.517118, 0.545941, -0.500732, -0.561279, 0.647949, 0.062808, -0.019559, -0.004087, 0.999700, -0.009055, 0.022583, 0.002729, 161.871302, -50.308672, -50.473351, , , 0.000000, , , 
62022, , 6.105465, -1.672817, -0.553048, 3.788382, -1.774497, -5.030039, -1.616553, 4.970373, 0.720547, -0.530762, -0.570312, 0.613281, 0.060954, -0.016561, -0.006912, 0.999652, -0.008082, 0.024849, 0.003602, 160.246463, -53.168049, -49.558199, , , 0.000000, , , 
62023, , 6.308853, -1.666215, -1.084730, 3.626579, -1.217802, -4.417216, -1.497797, 5.317283, 0.857921, -0.574463, -0.577148, 0.580811, 0.062844, -0.016481, -0.012397, 0.999609, -0.007488, 0.026583, 0.004289, 158.523390, -56.191105, -48.504283, , , 0.000000, , , 
