PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
64272, , 9.729889, 2.474642, 1.465289, 2.651049, -1.334683, -0.110955, 0.847294, 3.326921, 1.221787, -0.814697, 0.395996, -0.421143, 0.097372, 0.025283, 0.013140, 0.999834, 0.004236, 0.016634, 0.006109, 2.706206, -69.270903, -78.845384, , , 0.000000, , , 
64273, , 9.402931, 0.644845, -1.152846, 1.623526, -4.261850, -1.484853, 0.956560, 3.055207, 1.172648, -0.798096, 0.400146, -0.450195, 0.093799, 0.007058, -0.012930, 0.999855, 0.004783, 0.015275, 0.005863, 1.372900, -67.551317, -76.814605, , , 0.000000, , , 
64274, , 8.146381, -0.572998, -3.441593, 1.067128, -6.332245, -3.706080, 2.459493, 3.268223, 0.942062, -0.774902, 0.389648, -0.496338, 0.080911, -0.004913, -0.035805, 0.999780, 0.012297, 0.016340, 0.004710, 1.426696, -65.690573, -75.338469, , , 0.000000, , , 
64275, , 6.609161, 0.972271, -3.214482, 2.528822, -5.214287, -5.189922, 3.004991, 3.237973, 0.668760, -0.755859, 0.377197, -0.521729, 0.065527, 0.010435, -0.033056, 0.999750, 0.015024, 0.016189, 0.003344, 2.212809, -63.853390, -74.289925, , , 0.000000, , , 
64276, , 5.140991, 1.375541, -2.447588, 2.659945, -3.873488, -6.315402, 2.074632, 2.976505, 0.570023, -0.737061, 0.379395, -0.554932, 0.051000, 0.014159, -0.025091, 0.999831, 0.010373, 0.014882, 0.002850, 2.618516, -62.161420, -73.411655, , , 0.000000, , , 
64277, , 4.592083, -0.115708, -1.914722, 1.108652, -3.718281, -6.696534, 1.396487, 2.606629, 0.513306, -0.726318, 0.373047, -0.571777, 0.045669, -0.000903, -0.019750, 0.999887, 0.006982, 0.013033, 0.002566, 2.748827, -60.697886, -72.635666, , , 0.000000, , , 
64278, , 4.280234, -0.530442, -1.446055, 0.600082, -3.388531, -6.837875, 1.435340, 2.248920, 0.413905, -0.707520, 0.366943, -0.596924, 0.042647, -0.005110, -0.014978, 0.999909, 0.007176, 0.011244, 0.002069, 3.045762, -59.421188, -72.029707, , , 0.000000, , , 
64279, , 3.925047, 0.405468, -1.232157, 1.409635, -2.758062, -7.075156, 1.588823, 1.934774, 0.361438, -0.699219, 0.366943, -0.613525, 0.039122, 0.004225, -0.012667, 0.999920, 0.007944, 0.009674, 0.001807, 3.500084, -58.353765, -71.489788, , , 0.000000, , , 
64280, , 3.269954, 1.126358, -1.474726, 2.094917, -2.374265, -7.785368, 1.655795, 1.623773, 0.317303, -0.686279, 0.354492, -0.632568, 0.032561, 0.011438, -0.014918, 0.999932, 0.008279, 0.008119, 0.001586, 4.060752, -57.435709, -71.032131, , , 0.000000, , , 
64281, , 2.560561, 1.525901, -1.459531, 2.368723, -1.838447, -8.389943, 1.741956, 1.300073, 0.268411, -0.673584, 0.348145, -0.645264, 0.025490, 0.015421, -0.014627, 0.999940, 0.008710, 0.006500, 0.001342, 4.711818, -56.734240, -70.615387, , , 0.000000, , , 
64282, , 2.138347, 1.514403, -1.822428, 2.437932, -1.875144, -8.959837, 1.752931, 1.013179, 0.252080, -0.665039, 0.337891, -0.657959, 0.021272, 0.015330, -0.018198, 0.999948, 0.008765, 0.005066, 0.001260, 5.420707, -56.167123, -70.261320, , , 0.000000, , , 
64283, , 1.698684, 1.323045, -2.431196, 2.437442, -2.142116, -9.683602, 1.793758, 0.774430, 0.240360, -0.660645, 0.329590, -0.670410, 0.016877, 0.013468, -0.024257, 0.999952, 0.008969, 0.003872, 0.001202, 6.152915, -55.763741, -69.899472, , , 0.000000, , , 
64284, , 1.392209, 1.499415, -2.823049, 2.724538, -2.149075, -10.150537, 1.883591, 0.548693, 0.205832, -0.654053, 0.321289, -0.674805, 0.013829, 0.015274, -0.028126, 0.999951, 0.009418, 0.002743, 0.001029, 7.007000, -55.463387, -69.627152, , , 0.000000, , , 
64285, , 1.348352, 1.890636, -2.922184, 3.142319, -1.974705, -10.209885, 1.746022, 0.307109, 0.192721, -0.657959, 0.311035, -0.681152, 0.013420, 0.019174, -0.029076, 0.999960, 0.008730, 0.001536, 0.000964, 7.784347, -55.329546, -69.355049, , , 0.000000, , , 
